YacName,Loc,Tonn,Cu,Au,Pb,Ag,Zn
Mokoman Lake,CNSK,    5440000.,1000, 0.0000000,0,    0.0000000,0
Moleon Lake,CNQU,     181000.,1700, 0.0000650,0,    0.0037700,2960
Monpas,CNQU,      45000.,2000, 0.0000000,0,    0.0020600,750
Mons Cupri,AUWA,   13000000.,1000, 0.0000000,190,    0.0004770,280
Mordey,CNON,     120000.,2220, 0.0000000,0,    0.0000000,0
Mos,NRWY,    1200000.,500, 0.0000000,12,    0.0000000,1130
Moskogaissa,NRWY,      44000.,6000, 0.0000000,0,    0.0000000,0
Moulton Hill,CNQU,     330000.,980, 0.0002600,1320,    0.0052600,4310
Mount Bulga,AUNS,     471440.,790, 0.0000490,1270,    0.0064000,5000
Mt. Chalmers,AUQL,    4294000.,1640, 0.0002050,1010,    0.0042000,3510
Mt. Lyell,AUTS,     119916.,1250, 0.0000400,0,    0.0008100,0
Mt. Morgan,AUQL,   80000000.,750, 0.0003800,0,    0.0001000,0
Mt. Mulcahy,AUWA,     250000.,3770, 0.0000000,0,    0.0000000,2750
Murgul,TRKY,   54000000.,1270, 0.0000000,0,    0.0000000,0
Murray Brook,CNNB,   21500000.,440, 0.0000000,860,    0.0031200,1950
Myra Falls-Lynx,CNBC,    5178000.,1500, 0.0002100,1000,    0.0099000,7600
Nasliden,SWDN,    1102000.,1150, 0.0001400,320,    0.0038000,3090
Nepisiguit,CNNB,    2640000.,280, 0.0000000,540,    0.0010300,2300
New Bay Pond,CNNF,   18100000.,500, 0.0000000,0,    0.0000000,2000
New Hosco,CNQU,    2053000.,1330, 0.0000034,0,    0.0004500,990
Newton,USCA,     150000.,3510, 0.0000170,0,    0.0013600,200
Nine Mile Brook,CNNB,     135000.,420, 0.0001030,1230,    0.0087100,1070
NordreGjetryggen,NRWY,    4500000.,1300, 0.0000000,0,    0.0000000,5250
Norita,CNQU,    4670000.,1800, 0.0000690,0,    0.0027400,4000
Normetal,CNQU,   10100000.,2150, 0.0000550,0,    0.0045000,5120
North Boundary,CNNB,     455000.,600, 0.0000000,3000,    0.0000000,9000
North Keystone,USCA,     205000.,2200, 0.0000020,0,    0.0001300,0
North Star,CNMN,     241000.,6110, 0.0000343,0,    0.0007890,0
Northair,CNBC,     100000.,600, 0.0003440,5920,    0.0044000,7200
Nuqrah,SAAR,    1400000.,800, 0.0003800,1660,    0.0252000,5700
Old Waite,CNQU,    1129000.,4700, 0.0001100,38,    0.0021700,2980
Orange & Gove,USVT,      50000.,1000, 0.0000000,0,    0.0000000,1000
Orange Point,USAK,    1000000.,5200, 0.0003500,160,    0.0070000,19000
Orchan,CNQU,    4870000.,1050, 0.0000200,0,    0.0019500,9490
Orijarvi,FNLD,    1200000.,940, 0.0000400,180,    0.0010000,610
Osbourne Lake,CNMN,    2970000.,3360, 0.0000680,0,    0.0006170,1550
Oshio,JAPN,    3660000.,1120, 0.0000200,710,    0.0032000,2870
Ostra Hogkulla,SWDN,     114000.,180, 0.0000600,590,    0.0096000,21100
