yacName,Loc,Tonn,Au,Ag
Sailor's Gully,AUVT,42000,  0.000840,  0.0000000
Salmon River,CNNS,110000,  0.001200,  0.0000000
Salsigne,FRNC,4500000,  0.001100,  0.0000000
Sambas,AUVT,35000,  0.003600,  0.0000000
Sandford,USAK,140,  0.008600,  0.0000000
Schley-Lucky Chuck,,160,  0.000660,  0.0000000
Scott Bar,USCA,3400,  0.001800,  0.0000000
Seal Harbour,CNNS,400000,  0.000260,  0.0000000
Second Relief,CNBC,210000,  0.001500,  0.0004200
Sesson Mine,USCA,110000,  0.000340,  0.0000000
Sheep Ranch,USCA,530000,  0.001200,  0.0000000
Shenandoah Mine,USCA,7200,  0.000650,  0.0000000
Silver Dollar,,85,  0.007000,  0.0000000
Sliger,USCA,320000,  0.000860,  0.0000000
Smith Heid-MT Bas,,220,  0.001700,  0.0001500
Snob-Steward,,7000,  0.003800,  0.0000000
Sonora,,100000000,  0.000220,  0.0002600
Soo,USAK,2700,  0.009000,  0.0000000
Soulsbyville,USCA,1200000,  0.002400,  0.0000000
South Bear Valley,,8200,  0.002700,  0.0000000
South Coulterville,,540,  0.000890,  0.0003800
South Uniacke,CNNS,11000,  0.006000,  0.0000000
Sperantum,,73,  0.014100,  0.0000000
Spring Gully,AUVT,170000,  0.001100,  0.0000000
Stanburn,,78,  0.000520,  0.0000000
Stawell,,1750000,  0.001470,  0.0000000
Stonewall,USCA,150000,  0.002000,  0.0000000
Sultan,AUVT,83000,  0.002500,  0.0000000
Surf Inlet,CNBC,960000,  0.001300,  0.0006800
Sutter Creek,USCA,8100000,  0.001700,  0.0000000
Sylvanite,USOR,63000,  0.000980,  0.0000000
Tangier,CNNS,45000,  0.001800,  0.0000000
Taylor,USCA,180000,  0.000580,  0.0000000
Temora,,2500000,  0.000250,  0.0004500
Tipperary Mine,NZLD,220000,  0.002600,  0.0000000
Toombou,AUVT,63000,  0.002400,  0.0000000
Treadwell Mines,USAK,26000000,  0.000450,  0.0000000
Truscott,USCA,5800,  0.002100,  0.0000000
Tsele,,190000,  0.001000,  0.0000000
Tuolumne River,,32000,  0.001500,  0.0001000
Uncle Sam,USCA,49000,  0.003100,  0.0000000
Upper Seal Harbour,CNNS,400000,  0.000450,  0.0000000
Valley View,USCA,1300,  0.003300,  0.0000000
Vogler's Cove,CNNS,180,  0.000740,  0.0000000
Ward,CNBC,140,  0.003300,  0.0000000
Warrington,USCA,3400,  0.002200,  0.0000000
Washington,USCA,550000,  0.000650,  0.0004800
Wattle Gully,AUVT,1000000,  0.001000,  0.0000000
Waverley,CNNS,150000,  0.001500,  0.0000000
Wayside,CNBC,39000,  0.000360,  0.0000670
West Gore,CNNS,4700,  0.004700,  0.0000000
West Meadow,USCA,82000,  0.002000,  0.0000000
West Whitlock,,190000,  0.001400,  0.0000000
Westland,NZLD,2400,  0.003600,  0.0000000
Whiteburn,CNNS,10000,  0.003700,  0.0000000
Williams,,10,  0.000760,  0.0000000
Wilshire-Bishop,USCA,130000,  0.001100,  0.0000000
Wine Harbour,CNNS,76000,  0.001800,  0.0000000
Woodlands,,9,  0.010700,  0.0000000
Yankee Hill,USCA,26000,  0.001100,  0.0000000
Yindi,,391000,  0.000360,  0.0000000
Zeila,USCA,1200000,  0.000640,  0.0000000
